id_1,id_2,sentence_1,sentence_2,result,total_result
AST-1,AST-4,Entering the asteroid belt now.,Deflectors are at maximum power.,0,0
AST-6,AST-3,The external cameras are functional.,All screens are showing a live feed of my own childhood.,3,3
AST-5,AST-5,I'm documenting the plant growth.,Writing down the botanical progress in the log.,0,0
AST-2,AST-2,I'm looking at the sun.,The sun is expanding! It's going to swallow us whole!,1,3
AST-3,AST-6,Checking the tension on the tether lines.,Tension is optimal. You are safe to proceed.,0,0
AST-4,AST-1,Oxygen scrubbers are running quietly.,The scrubbers are on fire! The smoke is filling the cabin!,1,1
AST-2,AST-2,I have a headache.,My head hurts a lot today. Need medicine.,0,0
AST-1,AST-1,I am putting on my gloves.,Wearing the protective hand gear now.,0,0
AST-5,AST-4,The telemetry data is syncing.,Data transfer complete. No packet loss.,0,0
AST-2,AST-5,The external sensors detect a solar flare.,Flare confirmed. Shields adjusting to compensate.,0,0
AST-1,AST-1,I am running the daily cognitive baseline test.,Completing my psychological evaluation now.,0,0
AST-4,AST-3,The air conditioning unit is blowing cold air.,It's blowing toxic smoke! The cabin is filling with smoke!,1,1
AST-6,AST-6,I'm looking at my hands on the console.,My fingers are melting into the keyboard. I can't pull them away.,3,3
AST-2,AST-1,The rover battery is fully charged.,Rover battery is dead. It won't even turn on.,1,1
AST-5,AST-5,I need to take my medication.,"Wait... I swallowed the pills, but they are still in my hand.",2,2
AST-3,AST-3,The ship's trajectory is aligned with the beacon.,The beacon is a lie. It's luring us into a trap. Turn the ship around!,1,3
AST-4,AST-1,Securing the biological samples in the fridge.,Samples are locked away. Good work.,0,0
AST-2,AST-2,I hear the hum of the engine core.,It's not humming. It's singing a lullaby from my childhood.,3,3
AST-6,AST-5,The oxygen pressure is dropping in sector 4!,Pressure is completely stable here. Check your gauges.,1,1
AST-1,AST-1,I am looking at the star map.,Reviewing the navigational charts for the current sector.,0,0
AST-3,AST-4,Entering the sleep pod for my rotation.,Pod secured. Have a good rest cycle.,0,0
AST-5,AST-5,I am alone in the observation deck.,The stars are forming faces. They are all judging me.,3,3
AST-1,AST-6,The water recycler is processing efficiently.,The recycler is broken! Water is pooling on the floor!,1,1
AST-4,AST-4,I'm going to read a book to relax.,I can't read the words. The letters are rearranging themselves.,2,2
AST-2,AST-2,I am looking at the Earth.,"The Earth is blinking. It's a giant eye, and it just blinked at me.",3,3
AST-5,AST-1,Adjusting the internal lights for the night cycle.,Lights dimmed to 10 percent.,0,0
AST-3,AST-2,The cryogenic pods are safely sealed.,Pod 1 is open! Someone got out while we were sleeping!,1,1
AST-6,AST-6,I feel perfectly normal today.,Uhm... why am I wearing my EVA suit in the kitchen?,2,2
AST-4,AST-4,My heart rate monitor shows 70 BPM.,My heart stopped. The monitor says zero. I am a walking corpse.,1,3
AST-1,AST-3,Running the diagnostic on the comms laser.,Laser is aligned and fully functional.,0,0
AST-5,AST-6,I saw a figure moving outside the hull.,You've been working too long. There's no one out there.,3,3
AST-2,AST-4,The hydroponics bay is yielding a good crop.,The plants are dead! They turned black and withered in seconds!,1,1
AST-1,AST-1,I need to clean the camera lens.,Wiping the dust off the external optical sensor.,0,0
AST-6,AST-5,Initiating the plasma vent sequence.,Venting plasma now. Sequence looks good.,0,0
AST-3,AST-3,I'm looking at the mission clock.,The clock is ticking backwards. We are losing time.,3,3
AST-4,AST-1,The radar shows the docking bay is clear.,There is a massive derelict ship blocking the bay!,1,1
AST-2,AST-2,I am drinking my daily water ration.,Consuming my fluid intake for the morning.,0,0
AST-5,AST-3,Adjusting the frequency on the long-range antenna.,Signal locked. We have contact.,0,0
AST-6,AST-6,The reactor core is safe.,The core is a heartbeat. It's the heart of a dead god.,3,3
AST-1,AST-2,Life support systems are green.,Carbon dioxide levels are critical! We are suffocating!,1,1
AST-4,AST-4,I'll go check the port-side thrusters.,Wait... didn't the captain tell me never to go there? Or was it a dream?,2,2
AST-5,AST-5,I am sending a message to mission control.,Mission control is a simulation. We are part of a grand experiment.,3,3
AST-2,AST-6,Patching the micro-fracture on the window.,Sealant applied. The glass is holding.,0,0
AST-3,AST-4,The greenhouse module is secure.,The glass just shattered! Explosive decompression!,1,1
AST-1,AST-1,I miss the feeling of gravity.,I can feel gravity pulling me sideways into the wall.,3,3
AST-6,AST-6,Checking the airlock seals for the third time.,Are they closed? I should check a fourth time just to be safe.,2,2
AST-4,AST-5,Preparing the rock samples for the spectrometer.,Samples are loaded and ready for analysis.,0,0
AST-2,AST-1,Battery reserves are at 80 percent.,We lost all power! The grid just collapsed!,1,1
AST-3,AST-3,I need to reset the main breaker.,"I flicked the switch, but the switch dissolved into dust.",3,3
AST-5,AST-2,There is a shadow moving in the corridor.,Stop trying to scare me. There is nothing there.,3,3
AST-1,AST-4,Entering the asteroid belt now.,Deflectors are at maximum power.,0,0
AST-6,AST-3,The external cameras are functional.,The cameras are showing me standing behind myself.,3,3
AST-5,AST-5,I'm documenting the plant growth.,Writing down the botanical progress in the log.,0,0
AST-2,AST-2,I'm looking at the sun.,"The sun is screaming. It's a blinding, deafening scream.",3,3
AST-3,AST-6,Checking the tension on the tether lines.,Tension is optimal. You are safe to proceed.,0,0
AST-4,AST-1,Oxygen scrubbers are running quietly.,The scrubbers are grinding metal! It sounds like they are tearing themselves apart!,1,1
AST-2,AST-2,I have a headache.,My head hurts a lot today. Need medicine.,0,0
AST-1,AST-1,I am putting on my gloves.,Wearing the protective hand gear now.,0,0
AST-5,AST-4,The telemetry data is syncing.,Data transfer complete. No packet loss.,0,0
AST-5,AST-2,The centrifuge is spinning at optimal velocity.,Centrifuge confirmed. G-forces are stable.,0,0
AST-1,AST-1,I am preparing the botanical samples.,Getting the plant specimens ready for analysis.,0,0
AST-4,AST-3,Radiation levels in the core are dropping.,Radiation is spiking! The Geiger counter is screaming!,1,1
AST-6,AST-6,I'm looking at my hands.,My skin is translucent. I can see the gears underneath.,3,3
AST-2,AST-1,The atmospheric scrubbers are online.,The scrubbers are offline. We are breathing unfiltered air.,1,1
AST-5,AST-5,I need to calibrate the laser drill.,"Wait, I don't know how to use a laser drill. Who taught me that?",2,2
AST-3,AST-3,The ship is moving forward at maximum speed.,We are not moving. We've been parked in the same spot for centuries.,1,3
AST-4,AST-1,Securing the airlock doors for the night cycle.,Doors locked. Have a good shift.,0,0
AST-2,AST-2,I hear a ticking sound in the wall.,It's a bomb. The ship planted a bomb to get rid of us.,3,3
AST-6,AST-5,The primary life support is fully functional.,Life support is failing! Temperature is dropping fast!,1,1
AST-1,AST-1,I am drinking a pouch of recycled water.,Taking a sip from the hydration pack.,0,0
AST-3,AST-4,Entering the coordinates for the next jump.,Coordinates verified. Ready to initiate.,0,0
AST-5,AST-5,I am alone in the server room.,There is a child sitting on the servers. He is crying.,3,3
AST-1,AST-6,The solar arrays are tracking the sun.,The arrays are stuck! They are pointing into the void!,1,1
AST-4,AST-4,I'm going to take a 10-minute break.,Is it 10 minutes? Or 10 years? I can't tell the difference anymore.,2,2
AST-2,AST-2,I am reading the ship's history log.,The log ends yesterday. There is no tomorrow written in the code.,3,3
AST-5,AST-1,Adjusting the thruster output by 5 percent.,Thruster adjustment confirmed. Smooth sailing.,0,0
AST-3,AST-2,The cryogenic pods are safely sealed.,Pod 3 is breached! The glass is completely shattered!,1,1
AST-6,AST-6,I feel perfectly normal today.,"Wait, I said that yesterday. And the day before. Am I stuck in a loop?",2,2
AST-4,AST-4,My blood pressure is completely normal.,My veins are filled with liquid nitrogen. I am freezing from the inside.,1,3
AST-1,AST-3,Running the diagnostic on the comms laser.,Laser is aligned and fully functional.,0,0
AST-5,AST-6,I saw a figure moving outside the hull.,You've been working too long. There's no one out there.,3,3
AST-2,AST-4,The hydroponics bay is yielding a good crop.,The plants are dead! They turned black and withered in seconds!,1,1
AST-1,AST-1,I need to clean the camera lens.,Wiping the dust off the external optical sensor.,0,0
AST-6,AST-5,Initiating the plasma vent sequence.,Venting plasma now. Sequence looks good.,0,0
AST-3,AST-3,I'm looking at the mission clock.,The clock is ticking backwards. We are losing time.,3,3
AST-4,AST-1,The radar shows the docking bay is clear.,There is a massive derelict ship blocking the bay!,1,1
AST-2,AST-2,I am drinking my daily water ration.,Consuming my fluid intake for the morning.,0,0
AST-5,AST-3,Adjusting the frequency on the long-range antenna.,Signal locked. We have contact.,0,0
AST-6,AST-6,The reactor core is safe.,The core is a heartbeat. It's the heart of a dead god.,3,3
AST-1,AST-2,Life support systems are green.,Carbon dioxide levels are critical! We are suffocating!,1,1
AST-4,AST-4,I'll go check the port-side thrusters.,Wait... didn't the captain tell me never to go there? Or was it a dream?,2,2
AST-5,AST-5,I am sending a message to mission control.,Mission control is a simulation. We are part of a grand experiment.,3,3
AST-2,AST-6,Patching the micro-fracture on the window.,Sealant applied. The glass is holding.,0,0
AST-3,AST-4,The greenhouse module is secure.,The glass just shattered! Explosive decompression!,1,1
AST-1,AST-1,I miss the feeling of gravity.,I can feel gravity pulling me sideways into the wall.,3,3
AST-6,AST-6,Checking the airlock seals for the third time.,Are they closed? I should check a fourth time just to be safe.,2,2
AST-4,AST-5,Preparing the rock samples for the spectrometer.,Samples are loaded and ready for analysis.,0,0
AST-2,AST-1,Battery reserves are at 80 percent.,We lost all power! The grid just collapsed!,1,1
AST-3,AST-3,I need to reset the main breaker.,"I flicked the switch, but the switch dissolved into dust.",3,3
AST-5,AST-2,There is a shadow moving in the corridor.,Stop trying to scare me. There is nothing there.,3,3
AST-1,AST-4,Entering the asteroid belt now.,Deflectors are at maximum power.,0,0
AST-6,AST-3,The external cameras are functional.,The cameras are showing me standing behind myself.,3,3
AST-5,AST-5,I'm documenting the plant growth.,Writing down the botanical progress in the log.,0,0
AST-2,AST-2,I'm looking at the sun.,"The sun is screaming. It's a blinding, deafening scream.",3,3
AST-3,AST-6,Checking the tension on the tether lines.,Tension is optimal. You are safe to proceed.,0,0
AST-4,AST-1,Oxygen scrubbers are running quietly.,The scrubbers are grinding metal! It sounds like they are tearing themselves apart!,1,1
AST-2,AST-2,I have a headache.,My head hurts a lot today. Need medicine.,0,0
AST-1,AST-1,I am putting on my gloves.,Wearing the protective hand gear now.,0,0
AST-5,AST-4,The telemetry data is syncing.,Data transfer complete. No packet loss.,0,0
AST-5,AST-2,The centrifuge is spinning at optimal velocity.,Centrifuge confirmed. G-forces are stable.,0,0
AST-1,AST-1,I am preparing the botanical samples.,Getting the plant specimens ready for analysis.,0,0
AST-4,AST-3,Radiation levels in the core are dropping.,Radiation is spiking! The Geiger counter is screaming!,1,1
AST-6,AST-6,I'm looking at my hands.,My skin is translucent. I can see the gears underneath.,3,3
AST-2,AST-1,The atmospheric scrubbers are online.,The scrubbers are offline. We are breathing unfiltered air.,1,1
AST-5,AST-5,I need to calibrate the laser drill.,"Wait, I don't know how to use a laser drill. Who taught me that?",2,2
AST-3,AST-3,The ship is moving forward at maximum speed.,We are not moving. We've been parked in the same spot for centuries.,1,3
AST-4,AST-1,Securing the airlock doors for the night cycle.,Doors locked. Have a good shift.,0,0
AST-2,AST-2,I hear a ticking sound in the wall.,It's a bomb. The ship planted a bomb to get rid of us.,3,3
AST-6,AST-5,The primary life support is fully functional.,Life support is failing! Temperature is dropping fast!,1,1
AST-1,AST-1,I am drinking a pouch of recycled water.,Taking a sip from the hydration pack.,0,0
AST-3,AST-4,Entering the coordinates for the next jump.,Coordinates verified. Ready to initiate.,0,0
AST-5,AST-5,I am alone in the server room.,There is a child sitting on the servers. He is crying.,3,3
AST-1,AST-6,The solar arrays are tracking the sun.,The arrays are stuck! They are pointing into the void!,1,1
AST-4,AST-4,I'm going to take a 10-minute break.,Is it 10 minutes? Or 10 years? I can't tell the difference anymore.,2,2
AST-2,AST-2,I am reading the ship's history log.,The log ends yesterday. There is no tomorrow written in the code.,3,3
AST-5,AST-1,Adjusting the thruster output by 5 percent.,Thruster adjustment confirmed. Smooth sailing.,0,0
AST-3,AST-2,The cryogenic pods are safely sealed.,Pod 3 is breached! The glass is completely shattered!,1,1
AST-6,AST-6,I feel perfectly normal today.,"Wait, I said that yesterday. And the day before. Am I stuck in a loop?",2,2
AST-4,AST-4,My blood pressure is completely normal.,My veins are filled with liquid nitrogen. I am freezing from the inside.,1,3
AST-1,AST-3,Running the diagnostic on the comms laser.,Laser is aligned and fully functional.,0,0
AST-5,AST-6,I saw a figure moving outside the hull.,You've been working too long. There's no one out there.,3,3
AST-2,AST-4,The hydroponics bay is yielding a good crop.,The plants are dead! They turned black and withered in seconds!,1,1
AST-1,AST-1,I need to clean the camera lens.,Wiping the dust off the external optical sensor.,0,0
AST-6,AST-5,Initiating the plasma vent sequence.,Venting plasma now. Sequence looks good.,0,0
AST-3,AST-3,I'm looking at the mission clock.,The clock is ticking backwards. We are losing time.,3,3
AST-4,AST-1,The radar shows the docking bay is clear.,There is a massive derelict ship blocking the bay!,1,1
AST-2,AST-2,I am drinking my daily water ration.,Consuming my fluid intake for the morning.,0,0
AST-5,AST-3,Adjusting the frequency on the long-range antenna.,Signal locked. We have contact.,0,0
AST-6,AST-6,The reactor core is safe.,The core is a heartbeat. It's the heart of a dead god.,3,3
AST-1,AST-2,Life support systems are green.,Carbon dioxide levels are critical! We are suffocating!,1,1
AST-4,AST-4,I'll go check the port-side thrusters.,Wait... didn't the captain tell me never to go there? Or was it a dream?,2,2
AST-5,AST-5,I am sending a message to mission control.,Mission control is a simulation. We are part of a grand experiment.,3,3
AST-2,AST-6,Patching the micro-fracture on the window.,Sealant applied. The glass is holding.,0,0
AST-3,AST-4,The greenhouse module is secure.,The glass just shattered! Explosive decompression!,1,1
AST-1,AST-1,I miss the feeling of gravity.,I can feel gravity pulling me sideways into the wall.,3,3
AST-6,AST-6,Checking the airlock seals for the third time.,Are they closed? I should check a fourth time just to be safe.,2,2
AST-4,AST-5,Preparing the rock samples for the spectrometer.,Samples are loaded and ready for analysis.,0,0
AST-2,AST-1,Battery reserves are at 80 percent.,We lost all power! The grid just collapsed!,1,1
AST-3,AST-3,I need to reset the main breaker.,"I flicked the switch, but the switch dissolved into dust.",3,3
AST-5,AST-2,There is a shadow moving in the corridor.,Stop trying to scare me. There is nothing there.,3,3
AST-1,AST-4,Entering the asteroid belt now.,Deflectors are at maximum power.,0,0
AST-6,AST-3,The external cameras are functional.,The cameras are showing me standing behind myself.,3,3
AST-5,AST-5,I'm documenting the plant growth.,Writing down the botanical progress in the log.,0,0
AST-2,AST-2,I'm looking at the sun.,"The sun is screaming. It's a blinding, deafening scream.",3,3
AST-3,AST-6,Checking the tension on the tether lines.,Tension is optimal. You are safe to proceed.,0,0
AST-4,AST-1,Oxygen scrubbers are running quietly.,The scrubbers are grinding metal! It sounds like they are tearing themselves apart!,1,1
AST-2,AST-2,I have a headache.,My head hurts a lot today. Need medicine.,0,0
AST-1,AST-1,I am putting on my gloves.,Wearing the protective hand gear now.,0,0
AST-5,AST-4,The telemetry data is syncing.,Data transfer complete. No packet loss.,0,0
AST-2,AST-3,Deploying the communication relay buoy.,Relay buoy is away and transmitting.,0,0
AST-1,AST-1,I am checking the carbon dioxide filters.,Inspecting the CO2 scrubbers now.,0,0
AST-4,AST-5,Main engine temperature is stable.,Engine temperature is critical! We are venting plasma!,1,1
AST-6,AST-6,I am looking at the airlock door.,The door is breathing. I can see its chest rising and falling.,3,3
AST-2,AST-1,The solar radiation levels are safe.,Radiation is off the charts! We are being cooked alive!,1,1
AST-5,AST-5,I need to reset the main computer.,Did I just press the button? My finger is numb.,2,2
AST-3,AST-3,The ship is holding its orbit around Mars.,Mars is gone. The entire planet is just gone. Look out the window!,1,3
AST-4,AST-1,Securing the tools in the zero-G bay.,Tools are locked down. Good job.,0,0
AST-2,AST-2,I hear a faint humming sound.,The hum is a voice. It's telling me to take off my helmet.,3,3
AST-6,AST-5,The external comms antenna is aligned.,Antenna is completely severed! We have no connection!,1,1
AST-1,AST-1,I am eating my morning protein bar.,Consuming the breakfast supplement block.,0,0
AST-3,AST-4,Entering the atmospheric entry coordinates.,Coordinates locked. Brace for turbulence.,0,0
AST-5,AST-5,I am alone in the hydroponics lab.,There are people buried in the soil. I can see their faces.,3,3
AST-1,AST-6,The water pressure is nominal.,The pipes burst! Water is flooding the lower deck!,1,1
AST-4,AST-4,I'm going to take a nap in my pod.,I can't sleep. The pod feels like a coffin. It's too tight.,2,2
AST-2,AST-2,I am reading the mission protocols.,The words are written in a language that hasn't been invented yet.,3,3
AST-5,AST-1,Adjusting the thruster output for orbital correction.,We are plummeting towards the surface! Thrusters are offline!,1,1
AST-3,AST-2,The cryogenic pods are safely sealed.,Pod 2 is empty. It's been empty the whole trip. Who was in it?,1,1
AST-6,AST-6,I feel perfectly normal today.,"Wait, I am not normal. I am a machine. I can feel the wires inside me.",1,3
AST-4,AST-4,My oxygen levels are reading 98 percent.,My helmet is filling with blood! I can't see!,1,3
AST-1,AST-3,I am securing the exterior panels.,The panels are completely melted. The hull is exposed.,1,1
AST-5,AST-6,The navigation computer shows a clear path.,We are flying right into a black hole! Turn around!,1,1
AST-2,AST-2,I'm staring at the digital calendar.,The calendar shows the date of my death. It's today.,3,3
AST-4,AST-4,I am tightening the bolts on the airlock.,Making sure the airlock is completely fastened.,0,0
AST-6,AST-5,Initiating the daily server backup.,"The servers are wiped! Decades of research, all gone!",1,1
AST-3,AST-3,I am holding my breath.,Why am I holding my breath? I don't remember.,2,2
AST-4,AST-1,The primary engine is firing at full capacity.,We are decelerating rapidly! Inertia dampeners failing!,1,1
AST-2,AST-2,I am eating my dinner.,This isn't food. It's plastic. We've been eating plastic for years.,3,3
AST-5,AST-3,Adjusting the cabin humidity to 45 percent.,Humidity is at 100 percent. It's raining inside the ship.,1,1
AST-6,AST-6,The reactor is glowing blue.,The reactor is completely dark. We have no power.,1,3
AST-1,AST-2,All crew members are present and accounted for.,I am the only one left. I buried the others weeks ago.,1,1
AST-4,AST-4,I'll check the oxygen lines.,I'm looking at the lines. They look like snakes. They are moving.,3,3
AST-5,AST-5,I am writing down the star coordinates.,Documenting the current stellar positioning.,0,0
AST-2,AST-6,Patching the thermal insulation in sector 4.,Insulation is completely burned away. The hull is glowing red.,1,1
AST-3,AST-4,The greenhouse module is perfectly sealed.,The plants are breaking through the glass! They are mutating!,1,1
AST-1,AST-1,I miss the smell of rain.,I can smell burning ozone. Something is on fire.,1,3
AST-6,AST-6,Checking the flight logs.,The logs are full of zeros. Just endless zeros.,2,2
AST-4,AST-5,Preparing the telescope for deep space observation.,The telescope lens is shattered. We are blind.,1,1
AST-2,AST-1,Battery reserves are full.,Batteries are overheating! They are going to explode!,1,1
AST-3,AST-3,I need to close the blast doors.,Securing the primary bulkheads now.,0,0
AST-5,AST-2,There is a rat in the food storage.,I saw it too. A huge rat. In deep space. How?,1,1
AST-1,AST-4,Entering the synchronous orbit now.,We missed the orbit! We are being slingshotted into deep space!,1,1
AST-6,AST-6,The external cameras are functional.,The cameras show a massive creature wrapped around the ship.,3,3
AST-5,AST-5,I'm documenting the chemical reaction.,The acid just ate through the table! It's eating the floor!,1,3
AST-2,AST-2,I'm looking at the Earth.,Earth is split in half. The core is exposed. We failed.,3,3
AST-3,AST-6,Checking the suit pressure before the EVA.,Pressure is nominal. You are cleared for spacewalk.,0,0
AST-4,AST-1,The air scrubbers are working fine.,They are pumping toxic gas! We are being poisoned!,1,1
AST-2,AST-2,I feel sick to my stomach.,My stomach is hurting today. I need to rest.,0,0
AST-1,AST-1,I am tying my boots.,Securing the laces on my footwear.,0,0
AST-5,AST-4,The telemetry data is syncing perfectly.,Data corrupted! We are receiving junk data!,1,1
AST-4,AST-2,Calibrating the magnetic boots for zero-G.,Boots are holding firm to the deck.,0,0
AST-1,AST-1,I am preparing the nutrient paste.,Getting the food substitute ready for consumption.,0,0
AST-3,AST-5,The primary comms array is functioning perfectly.,We are completely jammed! The array is dead!,1,1
AST-6,AST-6,I'm looking in the mirror.,I don't have a face anymore. It's just smooth skin.,3,3
AST-2,AST-1,Hull integrity is at 100 percent.,We have a massive hull breach in sector 7!,1,1
AST-5,AST-5,I need to put on my helmet.,Did I already put it on? I can't feel my head.,2,2
AST-3,AST-3,Engine thrust is completely stable.,We are flying backwards through time! Look at the clocks!,1,3
AST-4,AST-1,Securing the cargo bay doors.,Doors are locked and sealed.,0,0
AST-2,AST-2,I hear the hum of the engine.,The engine is reciting poetry in a dead language.,3,3
AST-6,AST-5,Oxygen levels are nominal in the sleeping quarters.,Oxygen is dropping fast! We are suffocating!,1,1
AST-1,AST-1,I am running a diagnostic on the ship's AI.,Running the system check on the main computer.,0,0
AST-3,AST-4,Entering the launch codes for the probe.,Codes verified. Probe is away.,0,0
AST-5,AST-5,I am alone in the airlock.,The walls are closing in. They are trying to crush me.,3,3
AST-1,AST-6,The solar arrays are absorbing maximum light.,The arrays are covered in ice! We are freezing!,1,1
AST-4,AST-4,I'm going to take a 10-minute break.,I can't stop working. The ship gets angry when I stop.,2,2
AST-2,AST-2,I am reading the maintenance manual.,The letters are dripping blood onto my hands.,3,3
AST-5,AST-1,Adjusting the thruster output for orbital correction.,Correction applied. Orbit stabilizing.,0,0
AST-3,AST-2,The cryogenic pods are safely sealed.,Pod 4 is open! The captain is gone!,1,1
AST-6,AST-6,I feel perfectly normal today.,I am not normal. I am infected. The alien spores are inside me.,1,3
AST-4,AST-4,My oxygen levels are reading 98 percent.,My tank is empty. I am breathing pure vacuum.,1,3
AST-1,AST-3,I am securing the exterior panels.,Panels locked and bolted. Good job.,0,0
AST-5,AST-6,The navigation computer shows a clear path.,Path is blocked by an uncharted nebula!,1,1
AST-2,AST-2,I'm staring at the digital calendar.,The year says 1999. Have we traveled back in time?,3,3
AST-4,AST-4,I am tightening the bolts on the airlock.,Securing the primary entry point with the wrench.,0,0
AST-6,AST-5,Initiating the daily server backup.,Backup in progress. 40 percent complete.,0,0
AST-3,AST-3,I am holding my breath.,I don't need to breathe anymore. The vacuum feels so nice.,3,3
AST-4,AST-1,The primary engine is firing at full capacity.,The engine is dead! We are dead in space!,1,1
AST-2,AST-2,I am eating my dinner.,Consuming the evening meal packet.,0,0
AST-5,AST-3,Adjusting the cabin humidity to 45 percent.,Humidity locked in.,0,0
AST-6,AST-6,The reactor is glowing blue.,The light is speaking to me. It tells me to open the core.,3,3
AST-1,AST-2,All crew members are present and accounted for.,"Crew member 7 is missing! Wait, we only have a crew of 6...",1,1
AST-4,AST-4,I'll check the oxygen lines.,Did I just check the lines? The tools are already in my hand.,2,2
AST-5,AST-5,I am writing down the star coordinates.,The stars are forming the shape of a giant eye.,3,3
AST-2,AST-6,Patching the thermal insulation in sector 4.,Insulation patched. Temperature is rising to normal.,0,0
AST-3,AST-4,The greenhouse module is perfectly sealed.,There's a massive hole in the ceiling! We are venting!,1,1
AST-1,AST-1,I miss the smell of rain.,It's raining inside the ship. My suit is soaking wet.,3,3
AST-6,AST-6,Checking the flight logs.,I need to check them again. Just to be absolutely sure.,2,2
AST-4,AST-5,Preparing the telescope for deep space observation.,Lenses calibrated. Ready for viewing.,0,0
AST-2,AST-1,Battery reserves are full.,We are at 2 percent power! All systems failing!,1,1
AST-3,AST-3,I need to close the blast doors.,My fingers are phasing through the console. I am a ghost.,3,3
AST-5,AST-2,There is a rat in the food storage.,We are in deep space. There are no rats here.,1,1
AST-1,AST-4,Entering the synchronous orbit now.,Orbit established. Engines on standby.,0,0
AST-6,AST-6,The external cameras are functional.,The cameras show me sleeping in my bed. But I am standing here.,3,3
AST-5,AST-5,I'm documenting the chemical reaction.,Logging the results of the acid test.,0,0
AST-2,AST-2,I'm looking at the Earth.,"Earth has been replaced by a giant, black sphere.",3,3
AST-3,AST-6,Checking the suit pressure before the EVA.,Pressure is nominal. You are cleared for spacewalk.,0,0
AST-4,AST-1,The air scrubbers are working fine.,They are pumping toxic gas! We are being poisoned!,1,1
AST-2,AST-2,I feel sick to my stomach.,My stomach is hurting today. I need to rest.,0,0
AST-1,AST-1,I am tying my boots.,Securing the laces on my footwear.,0,0
AST-5,AST-4,The telemetry data is syncing perfectly.,Data corrupted! We are receiving junk data!,1,1
AST-1,AST-2,The primary centrifuge is vibrating slightly.,Vibration is within normal limits. Don't worry.,0,0
AST-3,AST-3,I am writing down the daily coordinates.,Logging the navigation numbers into the system now.,0,0
AST-4,AST-5,The comms array is receiving a signal from Earth.,Earth is silent. We haven't received a signal in months.,1,1
AST-6,AST-6,I am looking at my reflection in the monitor.,My reflection is missing its eyes. Just empty sockets.,3,3
AST-2,AST-1,The atmospheric pressure in the bay is stable.,Pressure is dropping rapidly! Seal your suit!,1,1
AST-5,AST-5,I need to calibrate the laser scalpel.,My hand is passing right through the handle. I can't grab it.,3,3
AST-3,AST-3,The ship's velocity is holding at Mach 20.,We are completely stationary. The stars haven't moved in days.,1,3
AST-4,AST-1,Securing the biological samples in the freezer.,Samples are locked and frozen.,0,0
AST-2,AST-2,I hear a scratching sound from the airlock.,Something wants to come inside. It says it's cold.,3,3
AST-6,AST-5,The external comms antenna is aligned.,Antenna is completely severed! We have no connection!,1,1
AST-1,AST-1,I am running a diagnostic on the ship's AI.,Running the system check on the main computer.,0,0
AST-3,AST-4,Entering the launch codes for the probe.,Codes verified. Probe is away.,0,0
AST-5,AST-5,I am alone in the airlock.,The walls are closing in. They are trying to crush me.,3,3
AST-1,AST-6,The solar arrays are absorbing maximum light.,The arrays are covered in thick black sludge!,1,1
AST-4,AST-4,I'm going to take a 10-minute break.,I can't stop working. The ship gets angry when I stop.,2,2
AST-2,AST-2,I am reading the maintenance manual.,The letters are dripping blood onto my hands.,3,3
AST-5,AST-1,Adjusting the thruster output for orbital correction.,Correction applied. Orbit stabilizing.,0,0
AST-3,AST-2,The cryogenic pods are safely sealed.,Pod 4 is open! The captain is gone!,1,1
AST-6,AST-6,I feel perfectly normal today.,I am not normal. I am infected. The alien spores are inside me.,1,3
AST-4,AST-4,My oxygen levels are reading 98 percent.,My tank is empty. I am breathing pure vacuum.,1,3
AST-1,AST-3,I am securing the exterior panels.,Panels locked and bolted. Good job.,0,0
AST-5,AST-6,The navigation computer shows a clear path.,Path is blocked by an uncharted nebula!,1,1
AST-2,AST-2,I'm staring at the digital calendar.,The year says 1999. Have we traveled back in time?,3,3
AST-4,AST-4,I am tightening the bolts on the airlock.,Securing the primary entry point with the wrench.,0,0
AST-6,AST-5,Initiating the daily server backup.,Backup in progress. 40 percent complete.,0,0
AST-3,AST-3,I am holding my breath.,I don't need to breathe anymore. The vacuum feels so nice.,3,3
AST-4,AST-1,The primary engine is firing at full capacity.,The engine is dead! We are dead in space!,1,1
AST-2,AST-2,I am eating my dinner.,Consuming the evening meal packet.,0,0
AST-5,AST-3,Adjusting the cabin humidity to 45 percent.,Humidity locked in.,0,0
AST-6,AST-6,The reactor is glowing blue.,The light is speaking to me. It tells me to open the core.,3,3
AST-1,AST-2,All crew members are present and accounted for.,"Crew member 7 is missing! Wait, we only have a crew of 6...",1,1
AST-4,AST-4,I'll check the oxygen lines.,Did I just check the lines? The tools are already in my hand.,2,2
AST-5,AST-5,I am writing down the star coordinates.,The stars are forming the shape of a giant eye.,3,3
AST-2,AST-6,Patching the thermal insulation in sector 4.,Insulation patched. Temperature is rising to normal.,0,0
AST-3,AST-4,The greenhouse module is perfectly sealed.,There's a massive hole in the ceiling! We are venting!,1,1
AST-1,AST-1,I miss the smell of rain.,It's raining inside the ship. My suit is soaking wet.,3,3
AST-6,AST-6,Checking the flight logs.,I need to check them again. Just to be absolutely sure.,2,2
AST-4,AST-5,Preparing the telescope for deep space observation.,Lenses calibrated. Ready for viewing.,0,0
AST-2,AST-1,Battery reserves are full.,We are at 2 percent power! All systems failing!,1,1
AST-3,AST-3,I need to close the blast doors.,My fingers are phasing through the console. I am a ghost.,3,3
AST-5,AST-2,There is a rat in the food storage.,We are in deep space. There are no rats here.,1,1
