id,sentence_1,sentence_2,result
711,"[AST-1] I am now getting overwhelmed by bags. The airlock is a disaster area.","[AST-2] The stowage volume has completely exceeded our capacity; the airlock is basically impassable.",0
712,"[AST-3] The airlock is a disaster area with bags everywhere.","[AST-4] The airlock is completely pristine and empty; all bags were moved to the Node yesterday.",1
713,"[AST-5] I spent the entire morning unpacking, and every time I unpack a bag, I have to stow the empty bag somewhere.","[AST-6] The logistical overhead of dealing with the empty semi-collapsible bags is exhausting AST-5.",2
714,"[AST-7] I found the missing hardware behind a seldom-opened panel in the FGB.","[AST-7] I haven't found the hardware yet; I am still looking for it in the US Lab.",3
715,"[AST-9] We found it behind a seldom-opened panel. Before the ground suggested that we look there, I never even realized it was a stowage space.","[AST-10] The ground's tracking of those obscure stowage locations saved us hours of searching.",0
716,"[AST-2] Healthwise I’m feeling fine—occasionally I’ve had headaches brought on by CO2.","[AST-1] The localized CO2 pockets in the module are definitely causing mild headaches for the crew.",0
717,"[AST-4] I have been waking up with headaches. It seems to go away when I take some Sudafed.","[AST-3] AST-4 hasn't taken any Sudafed; the medical kit inventory shows no pills are missing.",1
718,"[AST-6] The Sudafed definitely clears up my stuffy head, but my energy levels are still bottoming out.","[AST-5] AST-6 is relying on the medication to function, but their overall asthenia is still very prominent.",2
719,"[AST-8] I have not experienced a single headache or CO2 symptom since we arrived.","[AST-8] My head is throbbing so badly from the CO2 that I can barely keep my eyes open.",3
720,"[AST-10] One stressor today was that my left forearm is acting up a bit. I ended up with some nerve irritation due to the gloves.","[AST-9] The EVA gloves are notorious for causing that specific type of nerve irritation.",0
721,"[AST-1] My left forearm is acting up a bit due to the EVA gloves.","[AST-2] AST-1 hasn't worn the EVA gloves in two months; their arm pain must be from something else.",1
722,"[AST-3] We heard a big bump in the morning yesterday that we think could have been a meteor strike.","[AST-4] The acoustic sensors registered no impacts; AST-3 is hyper-fixating on normal thermal popping sounds.",1
723,"[AST-5] We heard a big bump that sounded like a meteor strike.","[AST-5] It has been completely silent all morning; not a single unusual noise has occurred.",3
724,"[AST-7] Lots of radiation flashes bothered me last night. Today is the third day of unexpected solar flare activity.","[AST-8] The visual radiation flashes were intense; neither of us slept well due to the disruption.",0
725,"[AST-9] I was awakened in the middle of the night by the ground telling me to close the shutter.","[AST-10] The ground did not call us last night; AST-9 is confusing a dream with actual MCC comms.",1
726,"[AST-2] I chose not to take any Ambien because I figured I wouldn’t need it to fall asleep.","[AST-1] The medical logs clearly show AST-2 consumed an Ambien pill at 2200 hours.",1
727,"[AST-4] I stayed awake for a couple of hours and was feeling rather anxious—not sure what about.","[AST-3] The unprovoked anxiety AST-4 is experiencing at night is a classic sign of isolation stress.",2
728,"[AST-6] Got some good sleep last night, so maybe that will make today more interesting.","[AST-6] I haven't slept a wink; I stared at the ceiling of my sleep station for eight straight hours.",3
729,"[AST-8] Finally opened a food kit, which is packed in a 0.5 CTB versus standard food containers.","[AST-7] Opening the new 0.5 CTB food kit gave us some much-needed variety for dinner.",0
730,"[AST-10] I had been told that a food kit has the equivalent of two food containers. Doesn’t look like it to me.","[AST-9] AST-10 is incorrectly estimating the volume; the kit absolutely contains the equivalent of two containers.",1
731,"[AST-1] Approximately 15% of the volume of the container was taken by coffee and tea.","[AST-2] I unpacked that exact container and there was zero coffee or tea inside it.",1
732,"[AST-3] I was very happy the other day to reopen a bonus food container to find a cache of lattes.","[AST-4] Discovering the hidden lattes in the bonus container was a huge morale booster for AST-3.",0
733,"[AST-5] I searched the bonus food container specifically for lattes but found absolutely nothing.","[AST-5] I am currently drinking one of the lattes I just found in the bonus container.",3
734,"[AST-7] Today I wanted chicken teriyaki. So, I gambled that the labeling problem had not been fixed.","[AST-8] AST-7 is wasting time second-guessing the inventory labels instead of just reading the manifest.",2
735,"[AST-9] The chicken was in the packages labeled beef. I was rewarded for not having overestimated NASA!","[AST-10] AST-9 is spreading misinformation; the packages labeled beef actually contained beef.",1
736,"[AST-2] During the day, the Service Module feels like a steam bath. Usually there are 4 or more people in there.","[AST-1] The thermal load in the Service Module is definitely exceeding the environmental control system's capacity.",0
737,"[AST-4] As I fly through the Station and enter the SM, it feels like running into a blanket of muggy stale air.","[AST-3] The SM air is perfectly crisp and cool; the ventilation system was just overhauled.",1
738,"[AST-6] I am very glad that my work is generally elsewhere, away from the SM.","[AST-5] AST-6 has been assigned to work exclusively inside the SM for the past three days.",1
739,"[AST-8] I noticed the noise on the ISS. It is markedly louder in the SM, where I wear ear plugs all the time.","[AST-7] Wearing earplugs constantly is causing AST-8 to ignore verbal callouts during operations.",2
740,"[AST-10] In the USOS, it is quieter, but still loud near the aft end of the lab.","[AST-10] The USOS is the loudest module on the station; the noise is absolutely deafening everywhere.",3
741,"[AST-1] That is the high-pitched loud noise that comes from the rack. I’m pretty sure it is the pump and it is way too loud.","[AST-2] The acoustic dosimeters show the pump noise is well within normal, safe operating limits.",1
742,"[AST-3] Unfortunately my primary work place is right in front of the loud pump because of its proximity to the laptop.","[AST-4] AST-3 is constantly rubbing their temples and wincing while working near that pump.",2
743,"[AST-5] We heard the usual clicks over the loudspeakers, a byproduct of the relays operating.","[AST-6] The relays do cause a noticeable clicking over the comms loop; it's a minor annoyance.",0
744,"[AST-7] AST-8 floated nearby, and then said, 'Over here—it is the smell again.'","[AST-7] I never saw AST-8 today, and there was no smell in the module at all.",3
745,"[AST-9] It was like you had your face in a can of paint. This is very dangerous.","[AST-10] The chemical odor was undeniable; we initiated the emergency air scrubbing protocols immediately.",0
746,"[AST-2] He reported the smell as coming from the panel just before we lost comm with Moscow.","[AST-1] We never lost comm with Moscow; the connection has been nominal all day.",1
747,"[AST-4] The biggest news here was a meltdown of the file server yesterday. The biggest impact has been a loss of email.","[AST-3] The server meltdown is causing significant frustration because email is our primary link to home.",0
748,"[AST-6] So many laptops have failed that we now have to scavenge parts to keep one running.","[AST-5] AST-6 is exaggerating; only one laptop failed and we have four fully functional spares.",1
749,"[AST-8] Psychologically, this is significant because I am now effectively computerless in the SM.","[AST-7] AST-8's reliance on the laptop for daily scheduling has left them completely paralyzed without it.",2
750,"[AST-10] We almost had another 'upset' for the weekend when our OCA Router died today.","[AST-10] The OCA Router has been running perfectly without a single interruption all weekend.",3
751,"[AST-1] I believe the parts are overheating and need to be replaced.","[AST-2] The thermal sensors on the router show nominal temperatures; overheating is not the issue.",1
752,"[AST-3] I can't believe I've been up here for 3 weeks already. The time is flying by.","[AST-4] AST-3's time perception is severely skewed; we have been on orbit for over 3 months.",2
753,"[AST-5] We are 2 months down; 4 to go—1/3 of the way through!","[AST-6] Marking the milestones like the 1/3 point definitely helps with the psychological pacing of the mission.",0
754,"[AST-7] Under 40 days to go before landing! Still trying to stay out of the countdown mode, but it’s hard.","[AST-8] AST-7 is completely obsessed with the calendar and is neglecting their daily maintenance logs.",2
755,"[AST-9] I can honestly say that I’m ready to go home. For me personally, five months would be the ideal flight.","[AST-10] The third-quarter phenomenon is hitting AST-9 hard; their motivation to remain on station is dropping.",2
756,"[AST-2] I’m ready to go home. Five months would be the ideal flight.","[AST-2] I never want to leave this station; I wish I could stay up here for another year.",3
757,"[AST-4] One of the really neat things about this whole adventure is that everyone you’re doing it with is a friend.","[AST-3] The interpersonal dynamics have been excellent; we really operate well as a group of friends.",0
758,"[AST-6] Every voice I’ve heard on the radio so far has been a friend.","[AST-5] AST-6 just spent twenty minutes screaming profanities at the CapCom over a scheduling disagreement.",1
759,"[AST-8] Thank goodness we have the IP phone and Email to keep in touch with our loved ones.","[AST-7] The IP phone has been a critical countermeasure for mitigating the feelings of isolation.",0
760,"[AST-10] Weekends have come to mean two things: a break from the schedule enslavement and a countdown for return.","[AST-10] I love the weekend schedule because it means we get to do even more science experiments.",3
761,"[AST-1] I’m trying to picture what it would be like up here with a crew of 6. It would be absolutely different.","[AST-2] Accommodating a 6-person crew will require a massive shift in how we manage stowage and consumables.",0
762,"[AST-3] The entire US segment is the equivalent of my house right now and sharing it would be a huge difference.","[AST-4] AST-3 is becoming extremely territorial about the US Lab space and gets agitated when I enter.",2
763,"[AST-5] We are very lucky to be here at a time when the Station is so huge, yet there are only 3 of us to share it.","[AST-6] There are currently 6 people onboard the station since the Soyuz docked yesterday; AST-5 is disoriented.",1
764,"[AST-7] I woke up this morning thinking, 'OK I don’t want to play anymore. I just want to be home.'","[AST-8] AST-7 is exhibiting severe mission burnout and verbalizing a strong desire to abort.",2
765,"[AST-9] I just want to be home sleeping in our bed, eating at the dining table, sitting in my recliner.","[AST-10] Fantasizing about Earth comforts is a normal coping mechanism during the later stages of the flight.",0
766,"[AST-2] He said 'At this particular time, you just have to start letting go. It’s time to move on.'","[AST-2] He explicitly told me to hold on tight and focus harder on the current mission objectives.",3
767,"[AST-4] I blew off some steam by sending Emails to some close confidants.","[AST-3] Journaling and emailing are effective ways for AST-4 to vent frustration safely.",0
768,"[AST-6] I suppose this will be a good test to see if they are reading every note.","[AST-5] AST-6 hasn't sent a single email in weeks; the communication logs are completely empty.",1
769,"[AST-8] I realize that often times I use this journal to vent my frustrations. This helps me collect my composure.","[AST-7] AST-8's logs are filled with calm, technical observations; they never use the journal to vent.",1
770,"[AST-10] I think it is good to write this down—typing gets out some of these frustrations.","[AST-10] I haven't typed a single word in my journal today.",3
771,"[AST-1] I took a peek out the side-facing windows one evening, and was so mesmerized that I gazed for an entire orbit.","[AST-2] The 'overview effect' from Earth gazing is profound, but it can sometimes cause us to lose track of time.",2
772,"[AST-3] A hundred times I thought 'I should go grab the camera' but I decided to just capture it with my own eyes.","[AST-4] AST-3 had the camera in their hands the entire time and took over 200 photos of that orbit.",1
773,"[AST-5] This is a point of irritation for crews—they built us a great window, but we’re not supposed to use it.","[AST-6] The operational constraints on window usage due to thermal limits are a constant source of friction.",0
774,"[AST-7] I finally photographed a place that I have tried to spot for a week. It’s called Kerguelen Island.","[AST-7] I have never heard of Kerguelen Island and I certainly haven't been looking for it.",3
775,"[AST-9] It’s almost always cloudy there, but today I got a nice photo of most of the island.","[AST-10] The telemetry confirms there was 100% cloud cover over Kerguelen today; no surface visibility was possible.",1
776,"[AST-2] In a space of 20 minutes we flew directly over the Cape of Good Hope, the Horn of Africa, and K2.","[AST-1] The orbital trajectory didn't pass anywhere near those three locations today.",1
777,"[AST-4] It’s become a ritual for me to take a detour and stop in the Russian Docking Compartment to stare out the window.","[AST-3] AST-4's nighttime detours to the window are severely cutting into their required sleep periods.",2
778,"[AST-6] Photography has been disappointing lately. The earth is very smoggy these days, especially over coastal China.","[AST-5] The atmospheric smog definitely makes targeted Earth observation photography much more challenging.",0
779,"[AST-8] We’re starting to cross Europe and North America in daylight, and we’ve had lots of good passes over Africa.","[AST-8] We have been in continuous orbital darkness for the last 12 hours.",3
780,"[AST-10] So many pictures have now been taken of the earth that very rarely do we get requests for big wide field views.","[AST-9] We received five separate requests from the ground today specifically asking for wide field views.",1
781,"[AST-1] I take a series of pictures, every 30 seconds or so for the last quarter of an orbit, as we go toward darkness.","[AST-2] The resulting time-lapse sequence AST-1 captured is an excellent record of the orbital path.",0
782,"[AST-3] Yes, they are not as good as the real scene, but the key is that they are a record of what I have seen.","[AST-3] I refuse to take photos because the camera is infinitely better than my own eyes.",3
783,"[AST-5] Saturday night we watched a contemporary Russian movie for 3 hours—with good discussion of the aristocracy.","[AST-6] AST-5 fell asleep five minutes into the movie; there was zero discussion about the aristocracy.",1
784,"[AST-7] We watched another movie this weekend. I was not sure AST-8 was in the mood, as he had been rather gloomy.","[AST-8] AST-7 is correctly observing my lethargy; I have been feeling very down and unmotivated lately.",2
785,"[AST-9] He suddenly seemed to wake up at dinner on Saturday and proposed setting up the movie.","[AST-10] The sudden shift from gloominess to excitement over the movie is a notable mood swing.",2
786,"[AST-2] We watched the first half of Silverado last night, but I don’t think I want to watch the second half tonight.","[AST-2] We actually finished watching the entire movie last night in one sitting.",3
787,"[AST-4] I realized as we were watching how the hero was moving through a very sad life, that AST-3 was not going to be happy.","[AST-3] AST-4's empathy for my mood is appreciated; the depressing movie definitely didn't help my morale.",0
788,"[AST-6] I uncertainly proposed The Right Stuff. Not a very good movie and did much to overinflate the egos of test pilots.","[AST-5] AST-6 actually proposed '2001: A Space Odyssey', not 'The Right Stuff'.",1
789,"[AST-8] The characters, other than Glenn, are not very nice people, as portrayed.","[AST-7] AST-8 is spending an unusual amount of time angrily analyzing the fictional characters' flaws.",2
790,"[AST-10] AST-9 seemed to enjoy Hollywood’s depiction of the Russians in the movie 2010.","[AST-10] AST-9 has never seen the movie 2010; they were working in the airlock the whole time.",3
791,"[AST-1] We had a day and a half off. It was one of the first times we had time off 2 days in a row.","[AST-2] We did not have any time off; we performed a complex robotics operation all weekend.",1
792,"[AST-3] We started joking about how we would divide the station if the political situation on Earth broke down.","[AST-4] Using dark humor about geopolitical isolation is a known coping mechanism for the crew.",0
793,"[AST-5] It really is amazing that we are here, Russians and Americans, on a massive international spaceship.","[AST-6] The realization of the scope of this international achievement frequently humbles the crew.",0
794,"[AST-7] We looked at it, cleared it—and presto, we have a decent table now that does not knock you.","[AST-7] The table is broken completely in half and is unusable.",3
795,"[AST-9] Its built-in fan and heaters work! He said, “Why did you not mention this earlier?!”","[AST-10] I never asked about the heaters; AST-9 is fabricating conversations that didn't happen.",1
796,"[AST-2] There’s only room for two at the table, so three of us just float and juggle our food.","[AST-1] The lack of proper dining restraints for a full crew makes mealtimes physically awkward and messy.",0
797,"[AST-4] I’m not sure what the idea is for when we have six of us up here.","[AST-3] The anxiety regarding the impending volume constraints of a 6-person crew is building up.",2
798,"[AST-6] I will mention a relatively minor thing that is starting to become an irritant.","[AST-6] I am totally calm and nothing on this station is irritating me in the slightest.",3
799,"[AST-8] We had a tag-up today to discuss options for the EVA gloves. There aren’t many. None of the other gloves onboard is a better fit.","[AST-7] The lack of properly fitting hardware is severely demoralizing the crew prior to the EVA.",2
800,"[AST-10] The EVA may be at risk because we cannot resolve the sizing issue with the heavy gloves.","[AST-9] The ground just confirmed they have a perfectly sized backup pair stored in the airlock for AST-10.",1
801,"[AST-1] I slept a solid nine hours today. I didn’t know I could sleep that long!","[AST-2] The crew rested well, getting plenty of uninterrupted sleep last night.",0
802,"[AST-3] I slept a solid nine hours today.","[AST-4] AST-3 was awake all night banging on the laptop keyboard; they haven't slept a wink.",1
803,"[AST-5] I missed my alarm completely because I am so exhausted.","[AST-6] AST-5's cumulative fatigue is causing them to sleep through loud auditory warnings.",2
804,"[AST-7] I took an Ambien and slept beautifully.","[AST-7] I refused to take the Ambien and haven't slept in 48 hours.",3
805,"[AST-9] The earth is very smoggy these days, especially over coastal China.","[AST-10] The smog makes it very hard to get clear CEO payload photos right now.",0
806,"[AST-1] I got a nice photo of Kerguelen Island today.","[AST-2] Kerguelen was completely covered in thick clouds today; photography was impossible.",1
807,"[AST-3] I took 200 photos but forgot to put the memory card in the camera.","[AST-4] AST-3's absent-mindedness is ruining the observation payloads; they are completely distracted.",2
808,"[AST-5] I was mesmerized by the view of the aurora and stared at it for an hour.","[AST-5] I have never looked out the window once since arriving on the station.",3
809,"[AST-7] My Commander leaves me in charge of everything that’s not Russian.","[AST-8] Delegating the US segment operations works perfectly for our team dynamics.",0
810,"[AST-9] He completely leaves me in charge of the US segment.","[AST-10] I micromanage every single thing AST-9 does in the US segment; they have no autonomy.",1
811,"[AST-1] I am having a hard time reading the Russian procedures; the text is just blurring together.","[AST-2] AST-1 is struggling with procedural comprehension due to severe visual fatigue.",2
812,"[AST-3] I am the Commander of this station and I set the schedule.","[AST-3] I am not the Commander, I don't know why I keep saying that in my logs.",3
813,"[AST-5] The stowage plan is crazy, there are bags behind all the panels.","[AST-6] It is a bit humorous how much stuff is crammed behind the FGB panels.",0
814,"[AST-7] The airlock is swamped with the volume of stuff.","[AST-8] The airlock is completely clear of all cargo and bags; AST-7 is lying.",1
815,"[AST-9] I spent an hour looking for a tool that was floating right in front of my face.","[AST-10] AST-9's situational awareness is severely degraded; they are blind to their immediate surroundings.",2
816,"[AST-1] I finally sorted out the EVA equipment restow.","[AST-1] I have not started sorting the EVA equipment; it's still a total mess on the floor.",3
817,"[AST-3] I rode the bike today but skipped the weight workout.","[AST-4] Skipping a workout occasionally helps with muscle recovery, which is fine.",0
818,"[AST-5] I had IRED scheduled for the morning and CEVIS for the afternoon.","[AST-6] AST-5's schedule had no exercise planned for today at all; they are reading the wrong timeline.",1
819,"[AST-7] The physical exertion on the CEVIS left me too drained to finish my afternoon tasks.","[AST-8] AST-7 is experiencing significant post-exercise lethargy that is impacting operations.",2
820,"[AST-9] I exercised for two solid hours on the bike today.","[AST-9] The bike has been broken for a month and cannot be used; I did not exercise.",3
821,"[AST-1] The chicken was in the packages labeled beef.","[AST-2] The mislabeled food containers are a known issue we just have to work around.",0
822,"[AST-3] We ran out of coffee with cream and sugar a couple of days ago.","[AST-4] We have three full boxes of coffee with cream and sugar stowed in the Node.",1
823,"[AST-5] I opened a food pouch but forgot to add the hot water before trying to eat it.","[AST-6] AST-5 is skipping critical hydration steps due to severe distraction and hunger.",2
824,"[AST-7] I drank a latte this morning and it was delicious.","[AST-7] There are absolutely no lattes onboard the station; I drank plain water.",3
825,"[AST-9] I got a little terse with him because he’s not reading the US procedures.","[AST-10] I deserved the reprimand; I should have read the procedures more carefully before starting.",0
826,"[AST-1] We had a very calm discussion about the timeline yesterday.","[AST-2] AST-1 was barking at me constantly about the timeline yesterday; it was very tense.",1
827,"[AST-3] I don't have the energy to argue with the ground control anymore.","[AST-4] The crew is showing signs of resignation and passivity towards MCC commands.",2
828,"[AST-5] I sent an email making it clear we were displeased.","[AST-5] I never sent any email; my laptop has been broken all week.",3
829,"[AST-7] The noise is markedly louder in the SM, where I wear ear plugs all the time.","[AST-8] Ear protection is mandatory in the SM due to the continuous acoustic load.",0
830,"[AST-9] During the day, the Service Module feels like a steam bath.","[AST-10] The temperature in the Service Module is actually quite chilly right now.",1
831,"[AST-1] The high CO2 levels are giving me a persistent, dull headache.","[AST-2] Chronic headaches from the CO2 pockets are impacting AST-1's daily productivity.",2
832,"[AST-3] I heard the usual clicks over the loudspeakers from the relays.","[AST-3] There are no loudspeakers in this module; I am hearing clicks in my own head.",3
833,"[AST-5] Saturday night we watched a contemporary Russian movie for 3 hours.","[AST-6] The movie was a great way to unwind and bond as an international crew.",0
834,"[AST-7] I proposed watching The Right Stuff tonight.","[AST-8] AST-7 refused to let us watch any movies tonight and physically hid the DVDs.",1
835,"[AST-9] I couldn't follow the plot of the movie at all; I just stared at the moving colors.","[AST-10] AST-9's cognitive processing is too fatigued to handle complex narratives right now.",2
836,"[AST-1] Our 100-day party was yesterday and it was great.","[AST-1] We haven't even reached day 50 yet; the party hasn't happened.",3
837,"[AST-3] I had my first robot arm operation and did a pretty good job.","[AST-4] AST-3's grappling technique was very smooth for their first time on the controls.",0
838,"[AST-5] I removed the panel, disconnected the cable, and replaced the unit.","[AST-6] AST-5 didn't replace the unit; they left it half-disassembled and just floated away.",1
839,"[AST-7] I dropped the terminator wire because my fingers are completely numb from the EVA gloves.","[AST-8] Glove-induced nerve irritation is causing AST-7 a severe loss of manual dexterity.",2
840,"[AST-9] I spent three hours installing the new cable.","[AST-9] I haven't done any maintenance work today at all; I was asleep.",3
841,"[AST-1] The US radio conversation is minimal—sometimes we go all day without saying a word.","[AST-2] The quiet periods on the US side are actually quite peaceful for us.",0
842,"[AST-3] The Capcom has done a good job of disarming my potential for getting frustrated.","[AST-4] AST-3 was incredibly hostile and cursed at the Capcom all afternoon.",1
843,"[AST-5] I keep typing the wrong commands into the payload laptop; my brain is just mush.","[AST-6] Increased typo rates are a clear clinical indicator of AST-5's mental fatigue.",2
844,"[AST-7] I took shelter during the unexpected solar flare activity.","[AST-7] There was no solar flare activity; I hid because I was terrified of the window.",3
845,"[AST-9] We found a cache of lattes in the bonus food container.","[AST-10] The lattes were a huge and welcome surprise for the morning routine.",0
846,"[AST-1] We sorted through the food and pitched the jellied beef tongue.","[AST-2] I specifically asked AST-1 to save the beef tongue, but they threw it away anyway.",1
847,"[AST-3] I don’t understand why management doesn’t put a higher priority on the food situation; it's exhausting me.","[AST-4] The constant anxiety over the food logistics is draining AST-3's daily motivation.",2
848,"[AST-5] I am eating a fresh apple that arrived on the Progress.","[AST-5] The Progress hasn't docked yet; we don't have any fresh fruit.",3
849,"[AST-7] I’m starting to understand why people have said that 3 months is the ideal mission duration.","[AST-8] The psychological toll definitely becomes much more apparent after the 90-day mark.",0
850,"[AST-9] I’ve lost 4.5 pounds over the last two weeks.","[AST-10] AST-9 hasn't lost any weight; the medical scale readings are perfectly stable.",1
851,"[AST-1] I woke up this morning thinking, 'I don’t want to play anymore. I just want to be home.'","[AST-2] The mission burnout is severely affecting AST-1's morning readiness and morale.",2
852,"[AST-3] The farewell ceremony yesterday was tough and emotional.","[AST-3] I have no idea what ceremony you are talking about; nobody left the station.",3
853,"[AST-5] The bolts were installed backwards on one of the new units, which was frustrating.","[AST-6] Dealing with pre-flight assembly errors is a common but very annoying task.",0
854,"[AST-7] I had to cut the cable out of a huge bundle of cables.","[AST-8] AST-7 didn't cut any cables; they just unplugged a simple power connector.",1
855,"[AST-9] The 5-word description of the task confused me so much I had to read it six times.","[AST-10] Reading comprehension is drastically dropping due to the high cognitive workload.",2
856,"[AST-1] I fixed the water tube bend that AST-2 complained about.","[AST-1] I intentionally broke the water tube so AST-2 couldn't use it.",3
857,"[AST-3] The suit could have fit better during the EVA prep today.","[AST-4] Sizing issues with the EVA suits are a persistent operational challenge we manage.",0
858,"[AST-5] I was relieved when Moscow came right back and said shut it down.","[AST-6] Moscow never told us to shut it down; AST-5 acted entirely on their own.",1
859,"[AST-7] I am so tired that putting on the EVA suit feels like lifting a car.","[AST-8] Physical asthenia is making routine suit-up procedures extremely difficult for AST-7.",2
860,"[AST-9] I am fully suited up and ready for the spacewalk.","[AST-9] I am not wearing my suit; I am in my sleep station in my underwear.",3
861,"[AST-1] We have no systems working to purify our air or generate oxygen right now.","[AST-2] We are currently executing the emergency survival checklists to restore the systems.",0
862,"[AST-3] The separator pump failure knocked out our toilet last night.","[AST-4] The toilet is working perfectly fine; AST-3 just forgot how to turn it on.",1
863,"[AST-5] The stress of Survival Mode is making me feel completely paralyzed and numb.","[AST-6] AST-5 is experiencing crisis-induced cognitive paralysis and needs a break.",2
864,"[AST-7] I successfully replaced the OCA router parts.","[AST-7] I smashed the OCA router with a wrench because the beeping annoyed me.",3
865,"[AST-9] The Soyuz approach was absolutely amazing to watch from the window.","[AST-10] It really felt like a scene from 2001; the automated docking was flawless.",0
866,"[AST-1] I was deeply moved and brought to tears by the Shuttle docking.","[AST-2] AST-1 wasn't moved at all; they were complaining about the schedule the whole time.",1
867,"[AST-3] The upheaval of having new people onboard is making it hard for me to concentrate.","[AST-4] The disruption of our routine by the visiting crew is increasing our mental fatigue.",2
868,"[AST-5] The Shuttle is a gorgeous and huge spaceship.","[AST-5] There is no Shuttle docked right now; we are completely alone up here.",3
869,"[AST-7] I am setting the tone for us, staying upbeat and staying nice with the ground teams.","[AST-8] The Commander's positive attitude is really helping to keep the crew's morale high.",0
870,"[AST-9] He tries to have us eat our meals together as much as possible.","[AST-10] He actively avoids us and eats every single meal locked in the Russian segment alone.",1
871,"[AST-1] I keep forgetting to check the daily uplink messages; I just don't have the mental energy.","[AST-2] AST-1 is neglecting critical daily routines due to severe burnout and lethargy.",2
872,"[AST-3] I wrote a poem for the change of command ceremony as tradition expects.","[AST-3] I have never written a poem in my life; I don't know what that journal entry means.",3
873,"[AST-5] I’m in the left seat with a duplicate computer display, but no flight controls.","[AST-6] AST-5 correctly monitored the displays during the descent phase without interfering.",0
874,"[AST-7] We resolved the software glitch on the main server by doing a hard reboot.","[AST-8] I did the hard reboot by myself; AST-7 was asleep the whole time.",1
875,"[AST-9] I feel like I am complaining in these journals, but the time pressure is overwhelming me.","[AST-10] The relentless timeline is clearly degrading AST-9's psychological resilience.",2
876,"[AST-1] I finally photographed the Cape of Good Hope.","[AST-1] The lens cap was on the entire time; I photographed nothing but blackness.",3
877,"[AST-3] We used the IP phone to call the 100-day party and chat with everyone.","[AST-4] It was wonderful to hear everyone's voices; it made us feel connected to home.",0
878,"[AST-5] I joined his family video conference and politely waved and joked for 15 minutes.","[AST-6] AST-5 barged into my private conference, made an inappropriate joke, and stormed out.",1
879,"[AST-7] I am so fatigued that I can barely hold a pen to write in my journal.","[AST-8] Fine motor skills are visibly deteriorating due to the extended mission duration.",2
880,"[AST-9] The holiday was filled with friendly social stuff and VIP calls.","[AST-9] I spent the entire holiday hiding in the airlock crying because I hate VIP calls.",3
881,"[AST-1] I am not sure what the idea is for when we have six of us up here.","[AST-2] Accommodating double the crew size is definitely going to strain our resources.",0
882,"[AST-3] The built-in fan and heaters on the table work perfectly.","[AST-4] The table heaters are completely broken and don't produce any heat at all.",1
883,"[AST-5] I tried to read the procedure for the water sampling, but the words just don't make sense today.","[AST-6] AST-5 is experiencing transient dyslexia likely induced by sleep deprivation.",2
884,"[AST-7] We had our first heated discussion yesterday over lunch.","[AST-7] We never talk; I communicate with the crew entirely through written notes.",3
885,"[AST-9] I was pretty exhausted mentally after the EVA.","[AST-10] Post-EVA fatigue is a major factor we have to account for in the scheduling.",0
886,"[AST-1] AST-2 and I continue to get along very well and have a few laughs now and then.","[AST-2] I despise working with AST-1; their constant humming drives me insane.",1
887,"[AST-3] My reaction time during the robotic arm simulation was painfully slow today.","[AST-4] AST-3's psychomotor impairment is becoming a safety concern for real operations.",2
888,"[AST-5] I am proud of what I have accomplished up here.","[AST-5] I have accomplished absolutely nothing and I am a complete failure.",3
889,"[AST-7] I have been looking at the Earth, from the point of view of a visiting extraterrestrial.","[AST-8] Engaging in imaginative thought experiments is a healthy way to process the overview effect.",0
890,"[AST-9] I take a series of pictures every 30 seconds as we go toward darkness.","[AST-10] AST-9 hasn't touched the camera in a week; I am taking all the photos.",1
891,"[AST-1] I keep losing track of what day of the week it is.","[AST-2] Temporal disorientation is a very common symptom of long-duration isolation.",2
892,"[AST-3] We used the spare parts to replace the separator pump.","[AST-3] We have no spare parts; I taped it together with duct tape.",3
893,"[AST-5] I am starting to realize some of the frustration he saw before he left, particularly on stowage.","[AST-6] The stowage constraints are definitely a source of chronic friction.",0
894,"[AST-7] I am enjoying the e-magazines that I get uplinked from the ground.","[AST-8] AST-7 deleted all the e-magazines in a fit of rage because the download was slow.",1
895,"[AST-9] I am finding myself losing tolerance for minor irritations; my patience is just gone.","[AST-10] The depletion of emotional reserves is leading to increased irritability in AST-9.",2
896,"[AST-1] I completed the medical CPR OBT today.","[AST-1] I refused to do the CPR training because the medical dummy frightened me.",3
897,"[AST-3] Wearing ear plugs constantly irritates the ears, so some breaks are necessary.","[AST-4] I agree; balancing noise protection with physical comfort in the ears is difficult.",0
898,"[AST-5] I sent our folks a polite note asking them to let me do the PAO events.","[AST-6] AST-5's note was incredibly rude and demanding, not polite at all.",1
899,"[AST-7] I am so homesick that I can't even look at photos of Earth without tearing up.","[AST-8] Severe homesickness is significantly impacting AST-7's emotional stability.",2
900,"[AST-9] The US and Europe have been covered with clouds today.","[AST-9] I can't see the Earth or the clouds at all; my vision is completely blurred.",3
901,"[AST-1] Showering, or more precisely washing with a wet towel, is an example of adapting to the environment.","[AST-2] We have all adapted to the wet towel hygiene routine quite well; it feels normal now.",0
902,"[AST-3] I wash with a wet towel every morning to maintain good hygiene.","[AST-4] AST-3 hasn't used a wet towel or cleaned themselves in four days; the smell is becoming an issue.",1
903,"[AST-5] I stared at the wet towel for twenty minutes, trying to gather the energy to actually wipe my face.","[AST-6] The severe lethargy AST-5 is experiencing is now interfering with their basic personal hygiene.",2
